Anthropology305,ANTH305,One of Anthropology 201 or Archaeology 203 or Biology 241 or 205.
Anthropology309,ANTH309,Anthropology 201 or Archaeology 203.
Anthropology311,ANTH311,
Anthropology313,ANTH313,Anthropology 203.
Anthropology317,ANTH317, Anthropology 203.
Anthropology319,ANTH319, Anthropology 203.
Anthropology321,ANTH321, Anthropology 203.
Anthropology323,ANTH323, Anthropology 203.
Anthropology329,ANTH329,Anthropology 203.
Anthropology331,ANTH331,
Anthropology341,ANTH341, Anthropology 203.
Anthropology343,ANTH343,Anthropology 203.
Anthropology346,ANTH346,
Anthropology350,ANTH350,Anthropology 201 or Archaeology 203.
Anthropology355,ANTH355, Anthropology 203.
Anthropology357,ANTH357,"One of Anthropology 203, Development Studies 201 or Indigenous Studies 201."
Anthropology361,ANTH361, Anthropology 203.
Anthropology363,ANTH363, Anthropology 203.
Anthropology371,ANTH371,Anthropology 203.
Anthropology379,ANTH379, Anthropology 203.
Anthropology385,ANTH385, Anthropology 203.
Anthropology393,ANTH393,Anthropology 203.
Anthropology395,ANTH395,Anthropology 203. 
Anthropology399,ANTH399,
Anthropology400,ANTH400,Consent of the Department.
Anthropology410,ANTH410,"One of Anthropology 210, 213 or 346. "
Anthropology411,ANTH411,One of Anthropology 391 or 490.
Anthropology412,ANTH412,Anthropology 309 and 311.
Anthropology413,ANTH413,Anthropology 311.
Anthropology421,ANTH421, Anthropology 321.
Anthropology425,ANTH425,Anthropology 311.
Anthropology427,ANTH427, Anthropology 323.
Anthropology435,ANTH435, Anthropology 311.
Anthropology441,ANTH441,Anthropology 341.
Anthropology449,ANTH449,Anthropology 341.
Anthropology451,ANTH451, Anthropology 311.
Anthropology467,ANTH467, Anthropology 343.
Anthropology479,ANTH479,"One of Anthropology 379, Geography 351 or 452."
Anthropology490,ANTH490,Anthropology 203. 
Anthropology501,ANTH501, Anthropology 203 and one senior Anthropology  course and consent of the Department.
Anthropology505,ANTH505, Anthropology 311 and one senior primatology course and consent of the Department.
Anthropology506,ANTH506,"Anthropology 350, completion of 72 units and consent of the Department. "
Anthropology523,ANTH523,Consent of the Department.
Anthropology534,ANTH534,Anthropology 201 and one of Anthropology 203 or Archaeology 201 and a minimum of 12 units in courses labelled Anthropology.
Anthropology541,ANTH541, Consent of the Department.
Anthropology552,ANTH552,Consent of the Department.
Anthropology553,ANTH553,Consent of the Department.
Anthropology534,ANTH534,Anthropology 413 and admission to the Anthropology Honours Program.
Anthropology571,ANTH571,Anthropology 411 and admission to the Anthropology Honours Program.
Anthropology573,ANTH573,Consent of the Department.
Anthropology589,ANTH589, Consent of the Department.
Anthropology601,ANTH601, Consent of the Department.
Anthropology603,ANTH603, Consent of the Department.
Anthropology605,ANTH605, Consent of the Department.
Anthropology611,ANTH611, Consent of the Department.
Anthropology613,ANTH613, Consent of the Department.
Anthropology631,ANTH631, Consent of the Department.
Anthropology635,ANTH635, Consent of the Department.
Anthropology641,ANTH641, Consent of the Department.
Anthropology659,ANTH659, Consent of the Department.
Anthropology701,ANTH701,
course_name,course_code,prerequisites
Arabic Language and Muslim Cultures202,ALMC202,"Consent of the School of Languages, Linguistics, Literatures and Cultures. "
Arabic Language and Muslim Cultures204,ALMC204,Arabic Language and Muslim Cultures 202.
Arabic Language and Muslim Cultures301,ALMC301,Arabic Language and Muslim Cultures 204.
Arabic Language and Muslim Cultures303,ALMC303,Arabic Language and Muslim Cultures 301.
Arabic Language and Muslim Cultures309,ALMC309,Arabic Language and Muslim Cultures 204.
Arabic Language and Muslim Cultures311,ALMC311,Arabic Language and Muslim Cultures 204.
Arabic Language and Muslim Cultures313,ALMC313,Arabic Language and Muslim Cultures 204.
Arabic Language and Muslim Cultures317,ALMC317,
Arabic Language and Muslim Cultures319,ALMC319,
Arabic Language and Muslim Cultures331,ALMC331,Arabic Language and Muslim Cultures 303.
Arabic Language and Muslim Cultures333,ALMC333,Arabic Language and Muslim Cultures 331.
Arabic Language and Muslim Cultures343,ALMC343,Arabic Language and Muslim Cultures 204.
Arabic Language and Muslim Cultures345,ALMC345,The corresponding language in Arabic Language and Muslim Cultures 343.
Arabic Language and Muslim Cultures354,ALMC354,Arabic Language and Muslim Cultures 204. 
Arabic Language and Muslim Cultures358,ALMC358,
Arabic Language and Muslim Cultures360,ALMC360,
course_name,course_code,prerequisites
Archaeology201,ARKY201,
Archaeology205,ARKY205,
Archaeology303,ARKY303,
Archaeology306,ARKY306,Consent of the Department.
Archaeology307,ARKY307,
Archaeology317,ARKY317,
Archaeology321,ARKY321,
Archaeology325,ARKY325,
Archaeology327,ARKY327,
Archaeology329,ARKY329,
Archaeology331,ARKY331,
Archaeology335,ARKY335,
Archaeology341,ARKY341,
Archaeology343,ARKY343,
Archaeology345,ARKY345,
Archaeology347,ARKY347, Consent of the Department.
Archaeology353,ARKY353,
Archaeology355,ARKY355,
Archaeology357,ARKY357,
Archaeology395,ARKY395, Archaeology 201 or 205.
Archaeology399,ARKY399,
Archaeology401,ARKY401, Archaeology 201 or 205.
Archaeology415,ARKY415,Archaeology 201.
Archaeology417,ARKY417,Archaeology 201.
Archaeology419,ARKY419,
Archaeology423,ARKY423, Archaeology 201 or 205 or 303.
Archaeology437,ARKY437,Archaeology 201 or 203.
Archaeology439,ARKY439,
Archaeology443,ARKY443, Archaeology 201.
Archaeology451,ARKY451, Archaeology 201 and 60 units.
Archaeology453,ARKY453,"3 units from Archaeology 201, Geography 211, 310, Geology 201, 209."
Archaeology455,ARKY455, Archaeology 201.
Archaeology471,ARKY471, Archaeology 201.
Archaeology490,ARKY490,Consent of the Department. 
Archaeology503,ARKY503, Archaeology 451.
Archaeology506,ARKY506,Archaeology 201 and 306.
Archaeology515,ARKY515,Consent of the Department. 
Archaeology523,ARKY523,Consent of the Department.
Archaeology531,ARKY531, Consent of the Department.
Archaeology537,ARKY537,"6 units from Archaeology 341, 343, 345, 347."
Archaeology555,ARKY555,Anthropology 309 or 350.
Archaeology591,ARKY591, Archaeology 451.
Archaeology593,ARKY593, Archaeology 451.
Archaeology595,ARKY595,"Anthropology 201, Archaeology 555 and either Anthropology 350 or Archaeology 203, and admission to the Archaeology or Anthropology major."
Archaeology596,ARKY596,Admission to Archaeology BSc Honours program and consent of the Department.
Archaeology597,ARKY597, Consent of the Department.
Archaeology598,ARKY598,Admission to Archaeology BA Honours program and consent of the Department.
Archaeology601,ARKY601, Consent of the Department.
Archaeology603,ARKY603, Consent of the Department.
Archaeology613,ARKY613,Consent of the Department.
Archaeology615,ARKY615, Consent of the Department.
Archaeology617,ARKY617, Consent of the Department.
Archaeology619,ARKY619, Archaeology 555.
Archaeology621,ARKY621, Consent of the Department.
Archaeology625,ARKY625,
Archaeology627,ARKY627,
Archaeology631,ARKY631,Consent of the Department.
Archaeology633,ARKY633,Consent of the Department.
Archaeology635,ARKY635,Consent of the Department.
Archaeology637,ARKY637, Consent of the Department.
Archaeology639,ARKY639, Consent of the Department.
Archaeology701,ARKY701,
Archaeology703,ARKY703, Consent of the Department.
course_name,course_code,prerequisites
Academic Writing201,ACWR201,
Academic Writing203,ACWR203,
Academic Writing303,ACWR303,
course_name,course_code,prerequisites
Accounting217,ACCT217,"Admission to the Haskayne School of Business, and 12 units including Mathematics 249 or 251 or 265 or 281.  "
Accounting301,ACCT301,24 units including Entrepreneurship and Innovation 201.
Accounting323,ACCT323,"Admission to the Haskayne School of Business, and Accounting 217 or 317."
Accounting341,ACCT341,"Admission to the Haskayne School of Business and Accounting 217 or 317, and 323."
Accounting343,ACCT343,Admission to the Haskayne School of Business and Accounting 341.
Accounting361,ACCT361,Admission to the Haskayne School of Business and Accounting 323.
Accounting421,ACCT421,"Admission to the Haskayne School of Business, and 54 units including Accounting 217 or 317."
Accounting423,ACCT423,Admission to the Haskayne School of Business and Accounting 421.
Accounting425,ACCT425,Admission to the Haskayne School of Business and 54 units including Accounting 341.
Accounting443,ACCT443,Admission to the Haskayne School of Business and 54 units including Accounting 343.
Accounting445,ACCT445,Admission to the Haskayne School of Business and 54 units including Accounting 343.
Accounting465,ACCT465,Admission to the Haskayne School of Business and 54 units including Accounting 361.
Accounting559,ACCT559,"Admission to the Haskayne School of Business and 54 units including Accounting 343. For certain topics, consent of the Haskayne School of Business will also be required."
Accounting601,ACCT601,
Accounting603,ACCT603, Accounting 601.
Accounting641,ACCT641, Accounting 601 and 603; or consent of the Haskayne School of Business.
Accounting643,ACCT643,Accounting 641.
Accounting661,ACCT661, Accounting 603.
Accounting672,ACCT672,Admission to the Master of Management Program. 
Accounting674,ACCT674,Admission to the Master of Management Program.
Accounting721,ACCT721,Accounting 601.
Accounting723,ACCT723,Accounting 721.
Accounting725,ACCT725,Accounting 641.
Accounting741,ACCT741, Accounting 603.
Accounting743,ACCT743,Accounting 643.
Accounting745,ACCT745,Accounting 643.
Accounting765,ACCT765,Accounting 661.
Accounting789,ACCT789, Accounting 603 or consent of the Haskayne School of Business.
Accounting797,ACCT797, Consent of the Haskayne School of Business.
Accounting799,ACCT799,
course_name,course_code,prerequisites
Actuarial Science325,ACSC325,"One of Mathematics 249, 265 or 275. "
Actuarial Science327,ACSC327," A grade of ""C"" or higher in Statistics 321."
Actuarial Science425,ACSC425,Actuarial Science 325 and Statistics 323; or Actuarial Science 325 and 60 units and consent of the Department.
Actuarial Science427,ACSC427,"Actuarial Science 327; Statistics 323; one of Mathematics 311, 313, 367 or 375."
Actuarial Science437,ACSC437,Statistics 323. 
Actuarial Science511,ACSC511,Statistics 323. 
Actuarial Science513,ACSC513,Actuarial Science 327 and Statistics 321. 
Actuarial Science515,ACSC515,Actuarial Science 325 and Statistics 321. 
Actuarial Science517,ACSC517,Actuarial Science 327. 
Actuarial Science519,ACSC519,Actuarial Science 327.
Actuarial Science527,ACSC527,"Actuarial Science 327; Statistics 323; one of Mathematics 311, 313, 367 or 375; and one of Computer Science 217, 231, 235 or Data Science 211."
Actuarial Science531,ACSC531,"Actuarial Science 327; Statistics 323; one of Mathematics 311, 313, 367 or 375."
Actuarial Science535,ACSC535, Actuarial Science 327 and Statistics 323.
Actuarial Science537,ACSC537,"Actuarial Science 327; Statistics 323; and one of Mathematics 311, 313, 367 or 375."
Actuarial Science539,ACSC539,Actuarial Science 327; Statistics 323; and one of Mathematics 311 or 313 or 367 or 375.
Actuarial Science600,ACSC600,
Actuarial Science611,ACSC611,"Statistics 323 or Mathematics 323, and Statistics 429."
Actuarial Science617,ACSC617,"Actuarial Science 327.
   "
Actuarial Science619,ACSC619,Actuarial Science 327.
Actuarial Science627,ACSC627,Actuarial Science 327; and one of Statistics 323 or Mathematics 323; and one of Mathematics 311 or 313 or 353 or 367 or 375 or 381; and one of Computer Science 217 or 231 or 235. 
Actuarial Science637,ACSC637,Actuarial Science 327; Statistics 323 or Mathematics 323; and one of Mathematics 311 or 313 or 353 or 367 or 375 or 381.
Actuarial Science639,ACSC639,
course_name,course_code,prerequisites
African Studies301,AFST301,
African Studies400,AFST400,Consent of the Program Co-ordinator.
African Studies501,AFST501,"One of African Studies 301, Anthropology 317, History 401, or Political Science 371."
course_name,course_code,prerequisites
American Sign Language201,ASL201,
American Sign Language203,ASL203,American Sign Language 201.
course_name,course_code,prerequisites
Anthropology201,ANTH201,
Anthropology203,ANTH203,
Anthropology303,ANTH303,
Anthropology305,ANTH305,One of Anthropology 201 or Archaeology 203 or Biology 241 or 205.
Anthropology309,ANTH309,Anthropology 201 or Archaeology 203.
Anthropology311,ANTH311,
Anthropology313,ANTH313,Anthropology 203.
Anthropology317,ANTH317, Anthropology 203.
Anthropology319,ANTH319, Anthropology 203.
Anthropology321,ANTH321, Anthropology 203.
Anthropology323,ANTH323, Anthropology 203.
Anthropology329,ANTH329,Anthropology 203.
Anthropology331,ANTH331,
Anthropology341,ANTH341, Anthropology 203.
Anthropology343,ANTH343,Anthropology 203.
Anthropology346,ANTH346,
Anthropology350,ANTH350,Anthropology 201 or Archaeology 203.
Anthropology355,ANTH355, Anthropology 203.
Anthropology357,ANTH357,"One of Anthropology 203, Development Studies 201 or Indigenous Studies 201."
Anthropology361,ANTH361, Anthropology 203.
Anthropology363,ANTH363, Anthropology 203.
Anthropology371,ANTH371,Anthropology 203.
Anthropology379,ANTH379, Anthropology 203.
Anthropology385,ANTH385, Anthropology 203.
Anthropology393,ANTH393,Anthropology 203.
Anthropology395,ANTH395,Anthropology 203. 
Anthropology399,ANTH399,
Anthropology400,ANTH400,Consent of the Department.
Anthropology410,ANTH410,"One of Anthropology 210, 213 or 346. "
Anthropology411,ANTH411,One of Anthropology 391 or 490.
Anthropology412,ANTH412,Anthropology 309 and 311.
Anthropology413,ANTH413,Anthropology 311.
Anthropology421,ANTH421, Anthropology 321.
Anthropology425,ANTH425,Anthropology 311.
Anthropology427,ANTH427, Anthropology 323.
Anthropology435,ANTH435, Anthropology 311.
Anthropology441,ANTH441,Anthropology 341.
Anthropology449,ANTH449,Anthropology 341.
Anthropology451,ANTH451, Anthropology 311.
Anthropology467,ANTH467, Anthropology 343.
Anthropology479,ANTH479,"One of Anthropology 379, Geography 351 or 452."
Anthropology490,ANTH490,Anthropology 203. 
Anthropology501,ANTH501, Anthropology 203 and one senior Anthropology  course and consent of the Department.
Anthropology505,ANTH505, Anthropology 311 and one senior primatology course and consent of the Department.
Anthropology506,ANTH506,"Anthropology 350, completion of 72 units and consent of the Department. "
Anthropology523,ANTH523,Consent of the Department.
Anthropology534,ANTH534,Anthropology 201 and one of Anthropology 203 or Archaeology 201 and a minimum of 12 units in courses labelled Anthropology.
Anthropology541,ANTH541, Consent of the Department.
Anthropology552,ANTH552,Consent of the Department.
Anthropology553,ANTH553,Consent of the Department.
Anthropology534,ANTH534,Anthropology 413 and admission to the Anthropology Honours Program.
Anthropology571,ANTH571,Anthropology 411 and admission to the Anthropology Honours Program.
Anthropology573,ANTH573,Consent of the Department.
Anthropology589,ANTH589, Consent of the Department.
Anthropology601,ANTH601, Consent of the Department.
Anthropology603,ANTH603, Consent of the Department.
Anthropology605,ANTH605, Consent of the Department.
Anthropology611,ANTH611, Consent of the Department.
Anthropology613,ANTH613, Consent of the Department.
Anthropology631,ANTH631, Consent of the Department.
Anthropology635,ANTH635, Consent of the Department.
Anthropology641,ANTH641, Consent of the Department.
Anthropology659,ANTH659, Consent of the Department.
Anthropology701,ANTH701,
course_name,course_code,prerequisites
Arabic Language and Muslim Cultures202,ALMC202,"Consent of the School of Languages, Linguistics, Literatures and Cultures. "
Arabic Language and Muslim Cultures204,ALMC204,Arabic Language and Muslim Cultures 202.
Arabic Language and Muslim Cultures301,ALMC301,Arabic Language and Muslim Cultures 204.
Arabic Language and Muslim Cultures303,ALMC303,Arabic Language and Muslim Cultures 301.
Arabic Language and Muslim Cultures309,ALMC309,Arabic Language and Muslim Cultures 204.
Arabic Language and Muslim Cultures311,ALMC311,Arabic Language and Muslim Cultures 204.
Arabic Language and Muslim Cultures313,ALMC313,Arabic Language and Muslim Cultures 204.
Arabic Language and Muslim Cultures317,ALMC317,
Arabic Language and Muslim Cultures319,ALMC319,
Arabic Language and Muslim Cultures331,ALMC331,Arabic Language and Muslim Cultures 303.
Arabic Language and Muslim Cultures333,ALMC333,Arabic Language and Muslim Cultures 331.
Arabic Language and Muslim Cultures343,ALMC343,Arabic Language and Muslim Cultures 204.
Arabic Language and Muslim Cultures345,ALMC345,The corresponding language in Arabic Language and Muslim Cultures 343.
Arabic Language and Muslim Cultures354,ALMC354,Arabic Language and Muslim Cultures 204. 
Arabic Language and Muslim Cultures358,ALMC358,
Arabic Language and Muslim Cultures360,ALMC360,
course_name,course_code,prerequisites
Archaeology201,ARKY201,
Archaeology205,ARKY205,
Archaeology303,ARKY303,
Archaeology306,ARKY306,Consent of the Department.
Archaeology307,ARKY307,
Archaeology317,ARKY317,
Archaeology321,ARKY321,
Archaeology325,ARKY325,
Archaeology327,ARKY327,
Archaeology329,ARKY329,
Archaeology331,ARKY331,
Archaeology335,ARKY335,
Archaeology341,ARKY341,
Archaeology343,ARKY343,
Archaeology345,ARKY345,
Archaeology347,ARKY347, Consent of the Department.
Archaeology353,ARKY353,
Archaeology355,ARKY355,
Archaeology357,ARKY357,
Archaeology395,ARKY395, Archaeology 201 or 205.
Archaeology399,ARKY399,
Archaeology401,ARKY401, Archaeology 201 or 205.
Archaeology415,ARKY415,Archaeology 201.
Archaeology417,ARKY417,Archaeology 201.
Archaeology419,ARKY419,
Archaeology423,ARKY423, Archaeology 201 or 205 or 303.
Archaeology437,ARKY437,Archaeology 201 or 203.
Archaeology439,ARKY439,
Archaeology443,ARKY443, Archaeology 201.
Archaeology451,ARKY451, Archaeology 201 and 60 units.
Archaeology453,ARKY453,"3 units from Archaeology 201, Geography 211, 310, Geology 201, 209."
Archaeology455,ARKY455, Archaeology 201.
Archaeology471,ARKY471, Archaeology 201.
Archaeology490,ARKY490,Consent of the Department. 
Archaeology503,ARKY503, Archaeology 451.
Archaeology506,ARKY506,Archaeology 201 and 306.
Archaeology515,ARKY515,Consent of the Department. 
Archaeology523,ARKY523,Consent of the Department.
Archaeology531,ARKY531, Consent of the Department.
Archaeology537,ARKY537,"6 units from Archaeology 341, 343, 345, 347."
Archaeology555,ARKY555,Anthropology 309 or 350.
Archaeology591,ARKY591, Archaeology 451.
Archaeology593,ARKY593, Archaeology 451.
